Sentence Utterance,Action,Object
แอร์การ์ด ทำไมเล่นเน็ตมันช้า ช้ามากเลยค่ะ ,enquire,internet
แอร์การ์ดเล่นเน็ต ต้องการเปลี่ยนเป็น 799 แต่มันสมัครไมได้,change,package
แอร์การ์ดเล่นเน็ตฟรี 990 บ. ต้องเสียค่าซื้อเท่าไหร่ ,enquire,promotion
แอร์การ์ดใช้งานไม่ได้ครับ,enquire,internet
แอร์การ์ดทรูมูฟค่ะ มีบิลที่ส่งให้มาเดือนนึงเป็นของอะไรคะ,Enquire,bill
แอร์การ์ดที่ผมซื้อมา ผมเล่นได้ไม่กี่ชั่วโฒงเน็ตมันก็ตัดครับ,enquire,internet
แอร์การ์ดนำมาเสียบที่โน๊ตบุ๊ค แต่มันต่อไม่ได้ ต้องทำยังไงค่ะ,enquire,internet
แอร์การ์ดมีunlimitedไหมครับ,enquire,promotion
แอร์การ์ดอะพี่ แอร์การ์ดมันเล่นเน็ตไม่ได้ค่ะ,enquire,internet
"โซเชี่ยว แพ็ค เล่นได้เฉพาะ เฟสบุ๊ค+วอสแอ๊ป หรอ ไม่มี ทวิสเตอร์ หรอ 
ถ้ามีอะไรยังไงบอกหน่อยนะ",enquire,package
โดน Lock ทำไมโทรออกไม่ได้คะ,report,suspend
โดนตัดเน็ตครับ ใบเสร็จยังไม่มาเลยครับ,report,suspend
โดนตัดสัญญาณอินเตอร์เน็ตค่ะ รบกวนต่อให้ก่อนค่ะ ยังไม่สะดวกไปจ่ายเลยค่ะ,report,suspend
โดนตัดสายครับ,report,suspend
โดนระงับ สัญญาณ เลยจะขอเพิ่มวงเงินค่ะ,enquire,credit
โดนระงับสัญญาณอยากจะขอเลื่อนวันชำระไปสองวันได้ไหมค่ะ,report,suspend
โดนระงับสัญญาณอยากจะขอเลื่อนวันชำระไปสองวันได้ไหมค่ะ,report,suspend
โทร 006 คิดเงินที่เบอร์เรา หรือเบอร์ปลายทาง,enquire,idd
โทรเข้า 1331 เพื่อให้ใช้อินเตอร์เน็ตต่างประเทศ ยังใช้ไม่ได้เลยนะครับ,enquire,roaming
โทรเข้าโทรออกไม่ได้เลยครับ ไม่ทรายวาเหตุอะไรครับ,report,phone_issues
โทรเข้าไม่ได้อ่ะค่ะ โทรออกก็ไม่ได้,report,phone_issues
โทรเข้าไม่ได้อ่ะค่ะ โทรออกก็ไม่ได้,report,phone_issues
โทรเข้ามาโอนสายหลายครั้ง ต้องการขอใบแจ้งค่าบริการค่ะ,enquire,bill
โทรเข้า-ออก ไม่ได้เลยมันขึ้นฉุกเฉิน,report,phone_issues
โทรเข้าออกไม่ได้ ไม่ทราบว่าเป็นอะไร เล่น line ไม่ได้ค่ะ ,report,phone_issues
โทรเช็คยอดว่าเบอร์นี้มียอดค้างหรือเปล่า,enquire,balance
โทรเวลาโทรเข้าโทรได้ทำไมโทรออกไม่ได้,report,phone_issues
โทรแจ้ง wifi หน้าร้าน <PHONE_NUMBER_REMOVED> เสีย,enquire,internet
โทรแจ้ง ไวไฟ หน้าร้าน <PHONE_NUMBER_REMOVED> เสีย,enquire,internet
โทรแจ้งโทรศัพท์มันเสียค่ะ <PHONE_NUMBER_REMOVED> ,report,phone_issues
โทรแจ้งระงับใช้อินเตอร์เนตก่อนครับช่วงนึง,cancel,service
โทรแจ้งส่ง MMS จากเครื่องไม่ออกครับ ส่งออกไม่ได้,report,phone_issues
โทรในเครือข่ายทรูมูฟ 25 สตางค์หน่ะค่ะ sms ข้อความละเท่าไหร่ค่ะ,enquire,rate
โทรไปเลื่อนชำระค่าบริการแต่ตอนนี้ยังไม่ได้ชำระ คือมันจะตัดสัญญาณให้มั้ยคะ,enquire,payment
โทรไปไอนี่หน่ะค่ะ ซื้อวันเพิ่มหน่ะ ซื้อได้ที่เบอร์อะไรค่ะ ,enquire,promotion
โทรไปขอเปิดเบอร์สัญญาณฉุกเฉิน แต่ตอนนี้โทรศัพท์ยังใช้ไม่ได้,activate,service
โทรไปต่างประเทศกดอะไรครับ จะโทรไปอเมริกา,enquire,idd
โทรไปยกเลิกโปรเน็ตหน่ะค่ะ มันจะตัดตอนสิ้นเดือน อยากให้มันตัดตอนนี้เลย,cancel,service
โทรไปหาเบอร์เพื่อน โทรกี่ทีเหมือนเค้ากดตัดสาย แต่เค้าไม่ได้กดตัดสายเลยคะ,report,phone_issues
โทรไม่หาเบอร์ทรูนี่ล่ะค่ะ ไม่ถึง 5 นาทีก็หลุดค่ะตลอดเลยค่ะ,report,phone_issues
โทรขอยกเลิกเสียงเพลงรอสาย,cancel,service
โทรจ้าเซเว่นค้า พอดีมีลุกค้าซื้อซิมไปแล้วใช้ไม่ได้รบกวนเปิดใช้บริการให้หน่อยค่ะ,enquire,nonTrueMove
โทรจาก <PHONE_NUMBER_REMOVED> นะครับ ลูกค้ามาถามว่าตัวโทรศัพท์ที่ซื้อไปจาก <PHONE_NUMBER_REMOVED> ตอนแรกใช้อินเตอร์เนตได้ แต่ตอนนี้ใช้งานไม่ได้ครับ,enquire,internet
โทรต่างประเทศคิดเงินอย่างไร ,enquire,Idd
โทรต่างประเทศนี้กด 006 ช่ายป่ะ,enquire,idd
โทรทัศน์มันดูไม่ได้อ่ะ,enquire,nonTrueMove
โทรฟรีทรูกดอะไรอ่ะครับ,enquire,promotion
โทรฟรียกก๊วนรายละเอียด เป็นยังไง,enquire,promotion
โทรมาเช็คบริการเสริมเมื่อคืนทำรายการ SMS ไว้อ่ะค่ะเป็นโปรที่เท่าไหร่ค่ะ,enquire,package
โทรมาเช็คบริการเสริมเมื่อคืนทำรายการ SMS ไว้อ่ะค่ะเป็นโปรที่เท่าไหร่ค่ะ,enquire,package
โทรมาเบอร์นี้หรือเปล่า โทรมามีเรื่องอะไรคะ,garbage,garbage
โทรมาเปลี่ยนโปรโมชั่นเป็น เอ็กเอล แล้ว เปลี่ยนหรือยัง,change,package
โทรมาเปิดบริการเบอร์ค่ะ พอดีเปลี่ยนจากทรูมูฟเป็นทรูมูฟเอชค่ะ ,activate,service
โทรมาเปิดสายพอดีมันปิดอยู่ครับ,activate,service
โทรมาเปิดอินเตอร์เน็ตค่ะ,enquire,internet
โทรมาเปิดอินเตอร์เน็ตค่ะ,enquire,internet
โทรมาเปิดอินเตอร์เน็ตค่ะ,enquire,internet
โทรมาแจ้งเปิดสัญญาณ ไวไฟ // สามจี ตามปกติค่ะ,activate,service
โทรมาแจ้งเปิดอินเตอร์เน็ต,enquire,internet
โทรมาแจ้งเปิดอินเตอร์เน็ต,enquire,internet
โทรมาแจ้งว่าให้ช่วยรบกวนต่อสัญญาณให้หน่อยค่ะ,activate,service
โทรมาขอเปลี่ยน package การโทร internet ครับ,change,package
โทรมาขอเปลี่ยนเป็นโปรโมชั่นโทรฟรีครับ,change,package
โทรมาขอเปิดสัญญาณก่อนครับ,activate,service
โทรมาขอเปิดสัญญาณก่อนครับ,activate,service
โทรมาขอแจ้ง ที่อยู่ที่จะจัดส่งเอกสาร,change,detail
โทรมาขอแจ้งให้เปิดสัญญาณอ่ะคะ,activate,service
โทรมาขอแจ้งปิดอินเตอร์เน็ตหน่ะ ,cancel,service
โทรมาจะเปลี่ยนโปรครับ,change,package
โทรมาติดต่อเรื่อง การไม่รับ SMS ขยะค่ะ,cancel,service
โทรมาถามยอดค่าอินเตอร์เน็ตหน่อยครับ,enquire,balance
โทรมายกเลิกแพคเกจอินเตอร์เน็ตที่ใช้คู่กับแอร์การ์ดอ่ะค่ะ,cancel,service
โทรมายกเลิกแพคเกจอินเตอร์เน็ตที่ใช้คู่กับแอร์การ์ดอ่ะค่ะ,cancel,service
โทรมายกเลิกบริการเน็ตรายเดือน 399 ที่สมัครไปครับ,cancel,service
โทรมายกเลิกอา....แมสเสจอ่ะค่ะ,cancel,service
โทรมาระงับใช้บริการของทรูมูฟเอชนะคะ,enquire,suspend
โทรมารับสิทธิ์แพ็คเกจโนเลจ ฟรี 1 ปีหน่ะค่ะ ,enquire,promotion
โทรมาสมัครอินเตอร์เน็ตรายวันครับ,buy,package
โทรมาสอบถามเบอร์นี้ว่ามันโทรเข้าไม่ได้ ลองเช็คให้หน่อยได้มั๊ย,report,phone_issues
โทรมาสอบถามเรื่องค่าชำระบริการค่ะ,enquire,balance
โทรมาสอบถามโปรโมชั่นของโทรศัพท์ทรูมูฟเฮท,enquire,promotion
โทรมาสอบถามโปรโมชั่นของโทรศัพท์ทรูมูฟเฮท,enquire,promotion
โทรมาสอบถามพอดีว่า อินเตอร์ถูกระงับสัญญาณ อินเตอรื ค่ะ,enquire,internet
โทรมาสอบถามว่า นัดช่างไว้ 3วันแล้วช่างยังไม่มาเลยครับ ,enquire,nonTrueMove
โทรศํพท์ถูกระงับการใช้งาน โทรหาใครแล้วมันบอกว่าให้ติดต่อคัสโตเมอร์แคร์ ,report,suspend
โทรศักท์โดนล๊อคค่ะแต่ผืดเองที่ไม่จ่ายเงิน แต่อยากให้ช่วยติดต่อเบอร์นึงให้หน่อยค่ะ,report,suspend
โทรศัทพ์ถูกระงับ,report,suspend
โทรศัพท์ 3g ผมโดนล๊อค,report,suspend
โทรศัพท์ โดนตัด ค่ะ,enquire,suspend
"โทรศัพท์ วางอยู่เฉยๆ ไม่ได้ใช้อะไร ได้รับ เอสเอ็มเอส ว่าใช้ เน็ต ไปแล้ว 
ถูกหักค่าบริการ ค่า เน็ต 49 บาท ขอ ข้อมูล แบบละเอียดๆ ด้วยว่าเพราะอะไรทำไมถึงหายไป",enquire,bill
โทรศัพท์ หาย แล้ว ซิม หาย จะขอใช้เบอร์เดิม ทำแบบออนไลได้ไหม,report,lost_stolen
โทรศัพท์เข้าอืนเตอร์เน็ตไม่ได้ครับ,report,phone_issues
โทรศัพท์เนี่ยคือหนูจะเปิดเข้าไปเล่นเฟส ก่อนเราจะออกนี่เราก็ล๊อดออกมาปกติปิดอะไรเสร็จศัพท์ แต่ไม่เข้าใจว่าทำไมมันถึงดูดเน็ตอยู่ตลอดเวลาเลยค่ะ ดูดเงินหนูอ่ะค่ะ,enquire,balance
โทรศัพท์เนี่ยคือหนูจะเปิดเข้าไปเล่นเฟส ก่อนเราจะออกนี่เราก็ล๊อดออกมาปกติปิดอะไรเสร็จศัพท์ แต่ไม่เข้าใจว่าทำไมมันถึงดูดเน็ตอยู่ตลอดเวลาเลยค่ะ ดูดเงินหนูอ่ะค่ะ,enquire,balance
โทรศัพท์เบอร์นี้หนูไม่ได้ใช้มา <PHONE_NUMBER_REMOVED>เดือนแล้ว แต่มันยังมีเงินคงเหลือ โทรออกได้ แต่โทรเข้าไมได้ค่ะ ,report,phone_issues
โทรศัพท์เบอร์นี้หนูไม่ได้ใช้มา <PHONE_NUMBER_REMOVED>เดือนแล้ว แต่มันยังมีเงินคงเหลือ โทรออกได้ แต่โทรเข้าไมได้ค่ะ ,report,phone_issues
โทรศัพท์เพิ่งเปิดใช้บริการซิมใหม่ จะเล่นเน็ตทำไงคะ ,enquire,internet
โทรศัพท์โดนตัด แต่จะให้ขยายวงเงินไปก่อนอ่ะครับ,report,suspend
โทรศัพท์โดนตัด และพึ่งไปจ่ายวันนี้อ่ะครับ,report,suspend
โทรศัพท์โดนตัด ไปชำระที่ซีคอนสแคว แต่ยังไม่สามารถใช้งานได้,report,suspend
โทรศัพท์โดนตัด ไม่แน่ใจว่าเรื่องวงเงินหรือยังไง ขอเพิ่มให้หน่อยค่ะ,report,suspend
โทรศัพท์โดนตัด พอดีไปจ่ายที่เซเว่น ยังโทรออกไม่ได้ ทำยังไงได้บ้างคะ,report,suspend
โทรศัพท์โดนตัดขอเปิดสัญญาณค่ะ,activate,service
โทรศัพท์โดนตัดค่ะ เพิ่งไปจ่าย 900 กว่าบาท เมื่อวันตรุษจีนค่ะ ,report,suspend
โทรศัพท์โดนตัดสัญญาณครับ,report,suspend
โทรศัพท์โดนระงับแล้วได้ไปชำระมาแล้ว,report,suspend
โทรศัพท์โดนระงับสัญญาณค่ะ เป็นเพราะอะไรค่ะ,report,suspend
โทรศัพท์โดนระงับหน่ะค่ะ น่าจะเป็นเพราะใช้เกิน,report,suspend
โทรศัพท์โดนระงับอ่ะค่ะ แต่ว่าจ่ายเงินไปแล้วนะค่ะ,report,suspend
โทรศัพท์โดนหักค่าอะไรไม่รู้ โดนไปหลายบาทแล้วค่ะ,enquire,bill
โทรศัพท์โทรเข้า โทรออก คนปลายทางไม่ได้ยินค่ะ,report,phone_issues
โทรศัพท์โทรออกไม่ได้ รับสายได้อย่างเดียว เป็นมานานแล้ว ,report,phone_issues
โทรศัพท์โทรออกไม่ได้ค่ะ <PHONE_NUMBER_REMOVED> ค่ะ,report,phone_issues
โทรศัพท์โทรออกไม่ได้ต้องชำระเท่าไหร่,enquire,balance
โทรศัพท์ใช้ จีพีอาเอส ไม่ได้,enquire,internet
โทรศัพท์ใช้ จีพีอาเอส ไม่ได้,enquire,internet
โทรศัพท์ใช้ จีพีอาเอส ไม่ได้ครับ,enquire,internet
โทรศัพท์ใช้งาน อินเตอร์เน็ต ไม่ได้ค่ะ,enquire,internet
โทรศัพท์ใช้งาน อินเตอร์เน็ต ไม่ได้ค่ะ,enquire,internet
โทรศัพท์ใช้งานไม่ได้ตั้งแต่ซื้อมา มันติดอะไร,report,phone_issues
โทรศัพท์ใช้บริการไม่ได้หน่ะค่ะ,report,suspend
โทรศัพท์ไม่แน่ใจว่าเกินวงเงินรึเปล่า เวลาโทรออกมันดังตื่อ..ดือ..ดึด ,enquire,credit
โทรศัพท์ไม่จับ3g คือพี้นที่บริการใช้ได้นะครับ,enquire,internet
โทรศัพท์ไม่จับสามจี คือพี้นที่บริการใช้ได้นะครับ,enquire,balance
โทรศัพท์ไม่สามารถโทรเข้าได้ค่ะ,report,phone_issues
โทรศัพท์ไม่สามารถโทรออกได้ และไม่มียอดค้างด้วยคะ,Report,phone_issues
โทรศัพท์ของผม โดนระงับได้ยังไงครับ,report,suspend
โทรศัพท์ของผมไอโฟนสามจีเอส โทรยากมาก โทรหาใครไม่ได้ ไม่ค่อยติดเลย ,report,phone_issues
โทรศัพท์ขึ้นPUKค่ะ,enquire,mobile_setting
โทรศัพท์จีนแดง จะใช้ไวไฟ แล้วเซ็ตยังไง,enquire,internet
โทรศัพท์ซ่อมต้องการตั้ง Call Forward,enquire,mobile_setting
โทรศัพท์ดิฉันโดนตัดสัญญาณ ยังไงรบกวนช่วยต่อให้ฉันได้มั้ยแล้วฉันจะไปเคลียร์ให้วันนี้นะค่ะ,report,suspend
โทรศัพท์ดิฉันโดนตัดสัญญาณ ยังไงรบกวนช่วยต่อให้ฉันได้มั้ยแล้วฉันจะไปเคลียร์ให้วันนี้นะค่ะ,report,suspend
โทรศัพท์ถูกตัดค่ะ แตพึ่งชำระค่าบรืการไปเมื่อวานเองค่ะ,report,suspend
โทรศัพท์ถูกตัดค่ะ โทรออกไม่ได้ ช่วยเปิดให้หน่อยนะค่ะ จะไปจ่ายวันเสาร์ค่ะ ,report,suspend
โทรศัพท์ถูกระงับค่ะจะขอเปิดใช้ค่ะ,activate,service
โทรศัพท์ถูกระงับสัญญาณครับ ,report,suspend
โทรศัพท์ทำไมยังใช้ไม่ได้ ชำระยอดมาแล้ว,report,suspend
โทรศัพท์ที่ผมใช้อยู่ยังใช้ได้ฟรีอยู่หรือป่าวครับ,enquire,package
โทรศัพท์นี้ขอเปิดให้ถึงบ่ายสามได้ไหม เดี๋ยวผมจะไปชำระให้ ,activate,service
โทรศัพท์บ้านกับอินเตอร์เน็ตใช้งานไมได้เลย ,enquire,nonTrueMove
โทรศัพท์ผม ส่งรับรูปไม่ได้ครับ รบกวนเปิดให้หน่อย ครับ,buy,package
โทรศัพท์ผมเชื่อมต่อ สามจี ไม่ได้ เลย ครับ,enquire,internet
โทรศัพท์ผมเติมเงินไม่ได้คัรับ,enquire,payment
โทรศัพท์ผมโดนตัด แต่ผมไปจ่ายเงินแล้ว ทำไมยังใช่งานไม่ได้ครับ,report,suspend
โทรศัพท์ผมโดนตัด จะขอเพิ่มวงเงินได้ไหมครับ,Enquire,credit
โทรศัพท์ผมโดนตัด ผมยังไม่ได้ไปจ่าย,enquire,suspend
โทรศัพท์ผมโดนตัดโทรเข้าไม่ได้ครับ,report,suspend
โทรศัพท์ผมโดนตัดไป ตอนนี้ไปจ่ายแล้ว แต่ยังใช้งานไม่ได้ครับ,report,suspend
โทรศัพท์ผมโดนตัดอยู่ ผมชำระที่ เซเว้น ไป 1000 บ. แล้ว,report,suspend
โทรศัพท์ผมโทรออกไมได้ครับ,report,phone_issues
โทรศัพท์ผมโทรออกไม่ได้ครับ,report,phone_issues
โทรศัพท์ผมโทรออกไม่ได้ครับพี่,report,phone_issues
โทรศัพท์ผมใช้งานไม่ได้ไม่รู้เป็นไร,report,phone_issues
โทรศัพท์ผมไม่มีสัญญาณใช้อะไรไม่ได้เลยโทรเข้าโทรออกไม่ได้เลยอ่ะครับ,report,phone_issues
โทรศัพท์ผมจ่ายไปก่อน 200 ก่อน ผมต้องการต่อสัญญาณ,activate,service
โทรศัพท์ผมถูกตัด ตอนนี้ผมโอนเงินเข้ามาแล้วพันหนึ่ง ช่วยเปิดสัญญาณให้ผมหน่อยครับ ,activate,service
โทรศัพท์ผมถูกตัดครับ ผมชำระไปเมื่อกี้แล้วช่วยเปิดให้หน่อยครับ,report,suspend
โทรศัพท์ผมทำไมมีแต่ข้อตวามที่ส่งมาจาก 91347วังนึงเป็นร้อยมันคือะไรครับ,enquire,service
โทรศัพท์ผมทำไมมีแต่ข้อตวามที่ส่งมาจาก 91347วังนึงเป็นร้อยมันคือะไรครับ,enquire,service
โทรศัพท์พี่โดนระงับสัญญาณ อยากจะขอเลื่อนวันชำระไปสัก 2 วันได้ไหมเอ่ย ,report,suspend
โทรศัพท์พี่โทรออกไม่ได้ ,report,phone_issues
โทรศัพท์พี่มันหายบนแท๊กซี่ค่ะ พี่จะยกเลิกค่ะ,report,lost_stolen
โทรศัพท์พี่ยังโทรออกไม่ได้ วันนี้เค้าเปลี่ยนเป็นทรูมูฟเอชให้หน่ะจ๊ะ ,report,phone_issues
โทรศัพท์มันเข้าเน็ตไม่ได้อ่ะค่ะ ,enquire,internet
โทรศัพท์มันโทรออกไม่ได้อีกแล้ว,report,phone_issues
โทรศัพท์มันใส่รหัส แล้วมันล๊อกค่ะ รหัส PUK,enquire,mobile_setting
โทรศัพท์มันไม่มีสัญญาณหน่ะคะ ,report,suspend
โทรศัพท์มันไม่มีสัญญาณอ่าคะ,report,phone_issues
โทรศัพท์มันไม่มีสัญญาณอ่าคะ,report,phone_issues
โทรศัพท์มันตัดครับ จะไปจ่ายเย็นนี้ ,report,suspend
โทรศัพท์มันมีปัญหา อยู่ดีๆ เครื่องดับไปเลย เครื่อง iPhone4 เปิดไม่ติดเลยค่ะ,report,phone_issues
โทรศัพท์มีข้อความฝากจำนวนมากต่อวัน โทรเข้าไม่ได้มันเกิดอะไร,report,phone_issues
โทรศัพท์มีปญหาค่ะ จะอัพเวอร์ชั่น ไอโฟน 4 เข้าไปที่ Setting จะออน ไวไฟ แต่ว่ามันกดไม่ได้ค่ะ เคยโทรมาแล้วนะค่ะ <PHONE_NUMBER_REMOVED>,enquire,mobile_setting
โทรศัพท์มีปัญหาโทรออกได้ แต่เวลาคนอื่นโทรเข้ามา โทรไม่ได้ครับ,report,phone_issues
โทรศัพท์มีปัญหาโทรออกได้แต่รับสายไม่ได้ครับ,report,phone_issues
โทรศัพท์มือถือโดนล้วง หายไป,report,lost_stolen
โทรศัพท์มือถือไอโฟน 5 หายครับ เพิ่งซื้อมาได้ 2 วันเองทำยังไงได้บ้าง,report,lost_stolen
โทรศัพท์มือถือหนูเล่นอินเตอร์เน็ตไม่ได้ค่ะ,enquire,internet
โทรศัพท์มือถือหาย ต้องการให้ช่วยระงับ,report,lost_stolen
โทรศัพท์ยังไม่ได้เปิดสัญญาณให้อ่าค่ะ,report,suspend
โทรศัพท์รับ เอ็มเอ็มเอส ไม่ได้เลยคะ,report,phone_issues
โทรศัพท์วันหมดจะขอวันเพิ่ม,buy,package
โทรศัพท์วางอยู่เฉยๆ ไม่ได้ใช้อะไร ได้รับแมสเซสว่าใช้เน็ตไปแล้ว ถูกหักค่าบริการค่าเน็ต 49 บาท ขอข้อมูลแบบละเอียดๆ ด้วยว่าเพราะอะไรทำไมถึงหายไป,enquire,bill
โทรศัพท์หน่ะค่ะโดนตัด ไม่สะดวกไปชำระที่ศูนย์ ชำระที่เซเว่นแล้ว จะขอเปิดสัญญาณก่อนได้ไหมค่ะ,activate,service
โทรศัพท์หนูมันตัดวันที่ 18 แต่ตอนนี้ทำไมอินเตอรืเน็ตมันยังไม่มาค่ะ ,enquire,internet
โทรศัพท์หนูมันยังเล่นอินเตอร์เน็ตไม่ได้ค่ะ ,enquire,internet
โทรศัพท์หนูหายค่ะ ขอระงับสัญญาณหน่อยค่ะ,report,lost_stolen
โทรศัพท์หาย,report,lost_stolen
โทรศัพท์หาย เมื่อวานนี้เองครับ,report,lost_stolen
โทรศัพท์หายจะระงับเบอร์ค่ะ,report,lost_stolen
โทรศัพท์หายต้องทำยังไงบ้างค่ะ,report,lost_stolen
โทรศัพท์หายนะค่ะ จะรบกวนให้พี่ค้นหาสัญญาณหน่อยค่ะ,report,lost_stolen
โทรศัพท์หายระงับสัญญาณ,report,lost_stolen
โทรศัพท์หายหน่ะค่ะพี่ อยากจะยกเลิกค่ะ,report,lost_stolen
โทรศัพท์อีกเครื่องไม่สามารถใช้เน็ตได้อ่ะค่ะ,enquire,internet
โทรศัพทืโดนตัดค่ะ เลยโทรมาถามยอด ,report,suspend
โทรศัพทืใช้เกิน ลิมิต จะขอให้เปิดเพิ่มขึ้น,enquire,credit
โทรสอบถามยอดโปรโมชั่นค่ะ ,enquire,balance
โทรสุดคุ้มยัง มี โปรนี้อยู่มั้ยคะ,enquire,package
โทรหา เพื่อน ไมได้ เล่น อินเตอร์เน็ต ไม่ได้ด้วย ไม่รู้เป็นอะไร,report,phone_issues
โทรหาคนสนิท มันโปรอะไรนะคะ,enquire,promotion
โทรออกไม่ได้ มันบอกว่าโดนระงับค่ะ,report,suspend
โทรออกไม่ได้ สงสัยไมได้จ่ายเงิน รบกวนเปิดสัญญาณให้ก่อนได้มั้ย,activate,service
โทรออกไม่ได้เขาบอกให้ติดต่อ smurfcare คืออะไรอ่ะ,report,phone_issues
โทรออกไม่ได้ค่ะ เป็นเพราะอะไรค่ะ,report,phone_issues
โทรออกต่างประเทศ ต้องกด 00 อะไรนะครับ,enquire,idd
โทรออกต่างประเทศไม่ได้ครับ,enquire,idd
โทษนะค่ะจะรบกวนขอเปิดสัญญาณหน่ะค่ะ,activate,service
โทษนะค่ะจะรบกวนขอเปิดสัญญาณหน่ะค่ะ,activate,service
โบนัสอินเตอร์เน็ต ที่ได้รับใช้งานยังไง,enquire,internet
โปร 50% ยังมีอยู่หรือเปล่าน้อง,enquire,promotion
โปร BB มันหมด ของผมมันเป็นโปรอะไร,enquire,package
โปร BB มันหมด ของผมมันเป็นโปรอะไร,enquire,package
โปร whatsapp เดือนละ 69 บาท ถ้าใช้บีบี สมัครได้มั้ย,enquire,package
โปร ไอสมาทร์ ระบบเติมไงสมัครได้ไหมค่ะ,enquire,promotion
โปร ที่ใช้งานถ้า ใช้ เน็ตจะคิดยังไง,change,package
โปร บีบี รายอาทิตย์เท่าไหร่ค่ะ ,enquire,package
โปรเติมเงินของผมเป็นอะไรอยู่ตอนนี้ อยากให้ควบคุมวงเงินเติมเงินแล้วยอดเงินหาย 70 MB ได้หมดทุกอย่าง,enquire,credit
โปรเสริม 350 เนี่ย มันสามารถเร็วได้ทั้งเดือนหรือเปล่า ,enquire,promotion
โปรเสริม*777*807ทำไมสมัครแล้วใช้ไม่ได้,enquire,promotion
โปรเสริมบีบีหน่ะค่ะ,enquire,promotion
โปรแกรม 499 กาแล๊คซี่มินิใช้ทำอะไรได้บ้าง พวก แอ๊ปพิเคชั่น ต่างๆ พี่ใช้ได้มั้ยค่ะ หรือต้องสมัครก่อน,enquire,promotion
โปรแพ็คเก็จเน็ต มี อะไรบ้าง ,enquire,promotion
โปรโทรกลางคืนมีอะไรบ้างครับ,enquire,promotion
โปรโทรฟรี กดอะไรครับ,enquire,promotion
โปรโทรฟรี ทำยังไงคะ,enquire,promotion
โปรโทรหาคนพิเศษ มี มั้ยครับ มันมีอัตราการคิดค่าบริการยังไงบ้าง,enquire,promotion
โปรโมชั่น 199 บ. 70 ชม. อยากจะสมัคร ต้องทำอย่างไร ครับ,enquire,promotion
โปรโมชั่น iPhone,enquire,promotion
โปรโมชั่น เปลี่ยนเป็น 2000 นาที คือตลอดเวลาใช่มั้ย,enquire,promotion
โปรโมชั่น ซัมซุง กาแล็กซี่ เอส 3,enquire,promotion
โปรโมชั่น ที่ใช้ งานตอนนี้ ,enquire,promotion
โปรโมชั่น ที่ใช้งานเป็นยังไง,enquire,detail
โปรโมชั่น ที่ให้มา 6 เดือน ฟรีหรือเปล่า ,enquire,promotion
โปรโมชั่น อัลลิมิท ของผมกำหนดไว้ที่กี่กิ๊ก,enquire,promotion
โปรโมชั่นเสริมอินเตอร์เน็ตมีอะไรบ้างคะ,enquire,promotion
โปรโมชั่นโทรฟรียังมีไหมครับ,enquire,promotion
โปรโมชั่นโทรฟรียังมีไหมครับ,enquire,promotion
โปรโมชั่นใหม่ล่าสุดของเดือนนี้มีอะไรบ้างครับ,enquire,promotion
โปรโมชั่นไม่ถูกต้อง,enquire,promotion
โปรโมชั่นไวไฟ100บาท จะสมัครใหม่ครับ ,buy,package
โปรโมชั่นไอโฟน 899 กับ 999 ต่างกันมั๊ยอ่ะคะ,enquire,promotion
โปรโมชั่นของ BB มีออะไรบ้างค่ะ,enquire,promotion
โปรโมชั่นของ Galaxsy S3 มีอะไรบ้างค่ะ,enquire,promotion
โปรโมชั่นจะหมดอายุแล้วแต่จะขอเป็นตัวเดิมได้หรือไม่,enquire,promotion
โปรโมชั่นซิมทรูมูฟมีอะไรบ้างครับ,enquire,promotion
โปรโมชั่นณเดชอันใหม่ คืออะไรนะครับ จ่าย900อะไรสักอย่าง,enquire,promotion
โปรโมชั่นตอนนี้ที่ใช้อยู่ มีสัญญาหรือเปล่า,enquire,promotion
โปรโมชั่นตอนนี้ที่ใช้อยู่ มีสัญญาหรือเปล่า,enquire,promotion
"โปรโมชั่นทรูมูฟเอช มีอะไรใหม่ออกมาบ้างเช่น ไวไฟ,ผม ใช้เยอะ อยากได้ที่ใช้ได้เยอะๆ 
เพราะของเดิมไวไฟ ได้ 5 ชม. ",enquire,promotion
โปรโมชั่นทรูมูฟเอช สามจีพลัส อัลลิมิเตท899ใช่มั้ย,enquire,promotion
โปรโมชั่นที่เป็นเกี่ยวกับการโทรอย่างเดียวถ้าจะเปลี่ยนเลยได้มั้ยครับแล้วจะยกเลิกที่เป็นอินเตอร์เน็ต,change,package
โปรโมชั่นที่เปลี่ยนได้มีอะไรบ้าง,enquire,promotion
โปรโมชั่นที่โฆษณาอยู่ตอนนี้ที่เป็น ismart italk นี่เป็นยังไงค่ะ,enquire,promotion
โปรโมชั่นที่โฆษณาอยู่ตอนนี้ที่เป็น ismart italk นี่เป็นยังไงค่ะ,enquire,promotion
โปรโมชั่นที่ใช้โทรฟรีในเครือข่ายได้เท่าไหร่,enquire,detail
โปรโมชั่นที่ใช้โทรฟรีนอกเครือข่ายได้เท่าไหร่,enquire,detail
โปรโมชั่นที่ใช้งานเป็นโปรโมชั่นเงื่อนไขใช้งานยังไง,enquire,promotion
